"","SiteID","Season","Year","X","SiteCodeB","SiteLength","Date","JD","PairedEvent","NumPass","MeanFL","MinMarkLength","Species","Mark","Recap","Run1Cap","Run2Cap","CE","CEAbund","PetersonAbund","SE","Upper95","Lower95","CEgroup","distinct","P.Run2Cap","SiteCodeC","MeanCEAbund","MeanCE","LowerCE","UpperCE","Density_MeanCE","AgeClass","SampleType","Section","BassSection","BassExperiment"
"1","EF1","Spring",2018,1,"EF1 2018 A",200,"2018-05-31",151,"A",1,51,NA,"RBT",0,0,1,0,NA,NA,NA,NA,NA,NA,2,"EF1_2018_Spring",0,"Spring",4.21052631578947,0.2375,-0.0196885482157658,0.494688548215766,0.0210526315789474,"Age0","Abundance","EF1","EF1",NA
"2","EF1","Spring",2018,1,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EF1_2018_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"Age1andUp","Abundance","EF1","EF1",NA
"3","EF1","Spring",2018,1,"EF1 2018 A",200,"2018-05-31",151,"A",1,51,NA,"RBT",0,0,1,0,NA,NA,NA,NA,NA,NA,2,"EF1_2018_Spring",0,"Spring 2",4.41176470588235,0.226666666666667,0.143858116383498,0.309475216949835,0.0220588235294117,"Age0andUp","Abundance","EF1","EF1",NA
"4","EF1","Spring",2018,1,"EF1 2018 A",200,"2018-05-31",151,"A",1,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,2,"EF1_2018_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"All","Abundance","EF1","EF1",NA
"5","EF2","Spring",2017,2,"EF2 2017 A",440,"2017-06-21",172,"A",1,161.333333333333,NA,"RBT",6,0,6,0,NA,NA,NA,NA,NA,NA,2,"EF2_2017_Spring",0,"Spring 2",23.175965665236,0.258888888888889,0.16824845395809,0.349529323819688,0.0526726492391728,"Age1andUp","Abundance","EF2","EF2",NA
"6","EF2","Spring",2017,2,"EF2 2017 A",440,"2017-06-21",172,"A",1,228,NA,"Bass",1,0,1,0,NA,NA,NA,NA,NA,NA,2,"EF2_2017_Spring",0,"Spring 2",3.86266094420601,0.258888888888889,0.16824845395809,0.349529323819688,0.00877877487319547,"All","Abundance","EF2","EF2",NA
"7","EF2","Spring",2017,2,"EF2 2017 A",440,"2017-06-21",172,"A",1,75.725,NA,"RBT",40,0,40,0,NA,NA,NA,NA,NA,NA,2,"EF2_2017_Spring",0,"Spring",168.421052631579,0.2375,-0.0196885482157658,0.494688548215766,0.382775119617225,"Age0","Abundance","EF2","EF2",NA
"8","EF2","Spring",2017,2,"EF2 2017 A",440,"2017-06-21",172,"A",1,86.8913043478261,NA,"RBT",46,0,46,0,NA,NA,NA,NA,NA,NA,2,"EF2_2017_Spring",0,"Spring 2",202.941176470588,0.226666666666667,0.143858116383498,0.309475216949835,0.461229946524064,"Age0andUp","Abundance","EF2","EF2",NA
"9","EF2_B","Spring",2019,3,"EF2_B 2019 C",175,"2019-06-05",156,"C",1,152.333333333333,NA,"RBT",8,0,9,0,NA,NA,NA,NA,NA,NA,2,"EF2_B_2019_Spring",0,"Spring 2",39.7058823529411,0.226666666666667,0.143858116383498,0.309475216949835,0.226890756302521,"Age0andUp","Abundance","EF2","EF2",NA
"10","EF2_B","Spring",2019,3,"EF2_B 2019 C",175,"2019-06-05",156,"C",1,165.375,NA,"RBT",8,0,8,0,NA,NA,NA,NA,NA,NA,2,"EF2_B_2019_Spring",0,"Spring 2",30.9012875536481,0.258888888888889,0.16824845395809,0.349529323819688,0.176578786020846,"Age1andUp","Abundance","EF2","EF2",NA
"11","EF2_B","Spring",2019,3,"EF2_B 2019 C",175,"2019-06-05",156,"C",1,48,NA,"RBT",0,0,1,0,NA,NA,NA,NA,NA,NA,2,"EF2_B_2019_Spring",0,"Spring",4.21052631578947,0.2375,-0.0196885482157658,0.494688548215766,0.0240601503759398,"Age0","Abundance","EF2","EF2",NA
"12","EF2_B","Spring",2019,3,"EF2_B 2019 C",175,"2019-06-05",156,"C",1,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,2,"EF2_B_2019_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"All","Abundance","EF2","EF2",NA
"13","EF6","Spring",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EF6_2017_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"Age1andUp","Abundance","EF6","EF6",NA
"14","EF6","Spring",2017,4,"EF6 2017 A",270,"2017-06-21",172,"A",1,74.5657894736842,NA,"RBT",76,0,76,0,NA,NA,NA,NA,NA,NA,2,"EF6_2017_Spring",0,"Spring 2",335.294117647058,0.226666666666667,0.143858116383498,0.309475216949835,1.24183006535948,"Age0andUp","Abundance","EF6","EF6",NA
"15","EF6","Spring",2017,4,"EF6 2017 A",270,"2017-06-21",172,"A",1,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,2,"EF6_2017_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"All","Abundance","EF6","EF6",NA
"16","EF6","Spring",2017,4,"EF6 2017 A",270,"2017-06-21",172,"A",1,74.5657894736842,NA,"RBT",76,0,76,0,NA,NA,NA,NA,NA,NA,2,"EF6_2017_Spring",0,"Spring",320,0.2375,-0.0196885482157658,0.494688548215766,1.18518518518519,"Age0","Abundance","EF6","EF6",NA
"17","EF6_A","Spring",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EF6_A_2011_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"Age1andUp","Abundance","EF6","OJD03458-000082",NA
"18","EF6_A","Spring",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EF6_A_2011_Spring",NA,"Spring",0,0.2375,-0.0196885482157658,0.494688548215766,0,"Age0","Abundance","EF6","OJD03458-000082",NA
"19","EF6_A","Spring",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,"Bass",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EF6_A_2011_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,NA,"All","Abundance","EF6","OJD03458-000082",NA
"20","EF6_A","Spring",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EF6_A_2011_Spring",NA,"Spring 2",0,0.226666666666667,0.143858116383498,0.309475216949835,0,"Age0andUp","Abundance","EF6","OJD03458-000082",NA
"21","EU7","Spring",2018,6,"EU7 2018 A",180,"2018-05-31",151,"A",1,42.8484848484849,NA,"RBT",0,0,33,0,NA,NA,NA,NA,NA,NA,2,"EU7_2018_Spring",0,"Spring",138.947368421053,0.2375,-0.0196885482157658,0.494688548215766,0.771929824561403,"Age0","Abundance","EU7","EU7",NA
"22","EU7","Spring",2018,6,"EU7 2018 A",180,"2018-05-31",151,"A",1,57.3157894736842,NA,"RBT",5,0,38,0,NA,NA,NA,NA,NA,NA,2,"EU7_2018_Spring",0,"Spring 2",167.647058823529,0.226666666666667,0.143858116383498,0.309475216949835,0.931372549019606,"Age0andUp","Abundance","EU7","EU7",NA
"23","EU7","Spring",2018,6,"EU7 2018 A",180,"2018-05-31",151,"A",1,152.8,NA,"RBT",5,0,5,0,NA,NA,NA,NA,NA,NA,2,"EU7_2018_Spring",0,"Spring 2",19.31330472103,0.258888888888889,0.16824845395809,0.349529323819688,0.107296137339056,"Age1andUp","Abundance","EU7","EU7",NA
"24","EU7","Spring",2018,6,"EU7 2018 A",180,"2018-05-31",151,"A",1,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,2,"EU7_2018_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"All","Abundance","EU7","EU7",NA
"25","EU9_B","Spring",2019,7,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EU9_B_2019_Spring",NA,"Spring 2",0,0.226666666666667,0.143858116383498,0.309475216949835,0,"Age0andUp","Abundance","EU9","EU9",NA
"26","EU9_B","Spring",2019,7,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EU9_B_2019_Spring",NA,"Spring",0,0.2375,-0.0196885482157658,0.494688548215766,0,"Age0","Abundance","EU9","EU9",NA
"27","EU9_B","Spring",2019,7,NA,NA,NA,NA,NA,NA,NA,NA,"Bass",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EU9_B_2019_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,NA,"All","Abundance","EU9","EU9",NA
