"","X.1","UniqueId","Age_Key","X","Year","PrimaryProject","ScaleCard","SiteID","Season","Section","SiteCodeB","ScaleGroup","SitePass","PairedEvents","Date","Session","JD","Count","Species","Length","Weight","TagCode","Recap","Mark","EventType","PITTag","Cond1","Cond2","Cond3","Cond4","Stream","SurveyLength","SurveyType","SiteCodeD","CompleteAge","Section2","Time"
"1",268,268,0,124,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",114,16.2,NA,NA,1,"Mark","3DA.1A19B17991","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"2",269,269,0,125,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",99,10.2,NA,NA,1,"Mark","3DA.1A19B1659D","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"3",270,270,0,126,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",149,NA,NA,NA,1,"Mark","3DA.1A19B18801","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"4",271,271,0,127,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",140,NA,NA,NA,1,"Mark","3DA.1A19B18D7C","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"5",273,273,0,129,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",129,NA,NA,NA,1,"Mark","3DA.1A19B18CD5","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"6",274,274,0,130,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",166,47.3,NA,NA,1,"Mark","3DA.1A19B164CB","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"7",282,282,1,138,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",137,NA,NA,NA,1,"Mark","3DA.1A19B16115","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"8",284,284,0,140,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",143,NA,NA,NA,1,"Mark","3DA.1A19B15F23","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"9",287,287,1,143,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",152,36,NA,NA,1,"Mark","3DA.1A19B178CC","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"10",289,289,0,145,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",124,22.1,NA,NA,1,"Mark","3DA.1A19B179DB","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"11",293,293,0,149,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",91,NA,NA,NA,1,"Mark","3DA.1A19B17B67","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"12",295,295,1,151,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",135,29.9,NA,NA,1,"Mark","3DA.1A19B16A65","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"13",296,296,1,152,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",144,37.1,NA,NA,1,"Mark","3DA.1A19B19209","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"14",298,298,0,154,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",130,24.3,NA,NA,1,"Mark","3DA.1A19B16028","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"15",300,300,1,156,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",103,NA,NA,NA,1,"Mark","3DA.1A19B1707C","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"16",301,301,0,157,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",139,NA,NA,NA,1,"Mark","3DA.1A19B161BD","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"17",303,303,0,159,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",160,46.9,NA,NA,1,"Mark","3DA.1A19B17080","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"18",305,305,1,161,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",146,NA,NA,NA,1,"Mark","3DA.1A19B17362","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"19",306,306,1,162,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",133,24.5,NA,NA,1,"Mark","3DA.1A19B17A3A","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"20",307,307,0,163,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",152,42,NA,NA,1,"Mark","3DA.1A19B15C6A","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"21",308,308,1,164,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",165,42.6,NA,NA,1,"Mark","3DA.1A19B15A76","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"22",309,309,0,165,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",139,NA,NA,NA,1,"Mark","3DA.1A19B15C42","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"23",311,311,0,167,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",110,NA,NA,NA,1,"Mark","3DA.1A19B15991","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"24",314,314,0,170,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",150,34.6,NA,NA,1,"Mark","3DA.1A19B1937C","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"25",315,315,0,171,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",118,18.4,NA,NA,1,"Mark","3DA.1A19B18864","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"26",316,316,1,172,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",143,35.6,NA,NA,1,"Mark","3DA.1A19B19394","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"27",317,317,1,173,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",132,24.9,NA,NA,1,"Mark","3DA.1A19B190B9","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"28",318,318,0,174,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",120,NA,NA,NA,1,"Mark","3DA.1A19B19233","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"29",319,319,0,175,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",155,NA,NA,NA,1,"Mark","3DA.1A19B18DFF","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"30",320,320,1,176,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",158,41.8,NA,NA,1,"Mark","3DA.1A19B167E4","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"31",321,321,0,177,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",89,NA,NA,NA,1,"Mark","3DA.1A19B15F66","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"32",322,322,0,178,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",105,NA,NA,NA,1,"Mark","3DA.1A19B17DC9","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"33",324,324,0,180,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",149,NA,NA,NA,1,"Mark","3DA.1A19B18BD3","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"34",327,327,0,183,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",123,NA,NA,NA,1,"Mark","3DA.1A19B161EE","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"35",328,328,1,184,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",150,NA,NA,NA,1,"Mark","3DA.1A19B18D6E","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"36",329,329,1,185,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",142,34.3,NA,NA,1,"Mark","3DA.1A19B174A0","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"37",330,330,1,186,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",124,NA,NA,NA,1,"Mark","3DA.1A19B18CBB","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"38",332,332,0,188,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",106,NA,NA,NA,1,"Mark","3DA.1A19B15DFC","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"39",333,333,0,189,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",136,30.1,NA,NA,1,"Mark","3DA.1A19B176AA","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"40",335,335,0,191,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",85,NA,NA,NA,1,"Mark","3DA.1A19B18667","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"41",336,336,0,192,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",144,NA,NA,NA,1,"Mark","3DA.1A19B19201","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"42",337,337,1,193,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",161,44.2,NA,NA,1,"Mark","3DA.1A19B18BE5","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"43",338,338,1,194,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",182,75.4,NA,NA,1,"Mark","3DA.1A19B19268","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"44",339,339,0,195,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",171,NA,NA,NA,1,"Mark","3DA.1A19B17814","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"45",340,340,0,196,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",149,37.1,NA,NA,1,"Mark","3DA.1A19B15C3A","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"46",341,341,0,197,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",156,NA,NA,NA,1,"Mark","3DA.1A19B17A55","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"47",344,344,0,200,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",143,29.1,NA,NA,1,"Mark","3DA.1A19B17990","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"48",345,345,0,201,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",147,NA,NA,NA,1,"Mark","3DA.1A19B159D2","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"49",346,346,0,202,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",118,NA,NA,NA,1,"Mark","3DA.1A19B1796C","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"50",347,347,0,203,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",113,NA,NA,NA,1,"Mark","3DA.1A19B18705","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"51",349,349,1,205,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",214,111.5,NA,NA,1,"Mark","3DA.1A19B190AD","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"52",352,352,1,208,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",160,NA,NA,NA,1,"Mark","3DA.1A19B15AD3","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"53",354,354,0,210,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",117,16.8,NA,NA,1,"Mark","3DA.1A19B1656E","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"54",356,356,0,212,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",145,34.5,NA,NA,1,"Mark","3DA.1A19B17B35","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"55",357,357,0,213,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",135,26.9,NA,NA,1,"Mark","3DA.1A19B18C8C","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"56",359,359,1,215,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",179,64.7,NA,NA,1,"Mark","3DA.1A19B18CB9","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"57",362,362,1,218,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",148,NA,NA,NA,1,"Mark","3DA.1A19B15A50","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"58",366,366,1,222,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",157,37.9,NA,NA,1,"Mark","3DA.1A19B168A6","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"59",367,367,0,223,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",113,NA,NA,NA,1,"Mark","3DA.1A19B17661","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"60",370,370,0,226,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",110,NA,NA,NA,1,"Mark","3DA.1A19B17B69","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
"61",376,376,1,232,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",135,28,NA,NA,1,"Mark","3DA.1A19B1650E","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",1,"Control_Per1","Pre"
"62",377,377,0,233,2017,"Thirtymile Creek_GSWCD","","MO_A","Fall","Treatment","MO_A 2017 A","ScalesB",1,"A",2017-10-19,"OJD-2017-292-30M",292,1,"RbT",107,NA,NA,NA,1,"Mark","3DA.1A19B18DCC","None","None","None","None","Thirtymile Creek-THIRTYMILE CREEK",1190,"Abundance","ScalesB Fall",0,"Control_Per1","Pre"
