SiteID,GRTSPointLat,GRTSPointLong,Strata_A,Strata_B,Length,Year,ReddCount,FishPReddEstimate,TotalStreamLength,Strata_A_Length,Strata_B_Length,Strata_A_NumSites,Strata_B_NumSites
EF1,45.166022,-120.450498,EF,Ephemeral,1115,2018,2,1.96,29674,7537,8329,1,2
EF1,45.166022,-120.450498,EF,Ephemeral,1115,2020,8,3.08,29674,7537,8329,1,2
EF1,45.166022,-120.450498,EF,Ephemeral,1115,2022,9,2.58,29674,7537,8329,1,2
EF1,45.166022,-120.450498,EF,Ephemeral,1115,2023,1,2.57,29674,7537,8329,3,4
EF1,45.166022,-120.450498,EF,Ephemeral,1115,2024,6,1.6,29674,7537,8329,2,3
EF2,45.175696,-120.417003,EF,Ephemeral,1106,2017,3,3.51,29674,7537,8329,2,3
EF2,45.175696,-120.417003,EF,Ephemeral,1106,2019,0,4.57,29674,7537,8329,1,2
EF2,45.175696,-120.417003,EF,Ephemeral,1106,2021,0,2.05,29674,7537,8329,2,3
EF2,45.175696,-120.417003,EF,Ephemeral,1106,2023,2,2.57,29674,7537,8329,3,4
EF6,45.176159,-120.3412,EF,Ephemeral,1051,2017,2,3.51,29674,7537,8329,2,3
EF6,45.176159,-120.3412,EF,Ephemeral,1051,2021,6,2.05,29674,7537,8329,2,3
EF6,45.176159,-120.3412,EF,Ephemeral,1051,2023,6,2.57,29674,7537,8329,3,4
EF6,45.176159,-120.3412,EF,Ephemeral,1051,2024,5,1.6,29674,7537,8329,2,3
EU7,45.164089,-120.317305,EU,Ephemeral,1058,2018,2,1.96,29674,792,8329,1,2
EU7,45.164089,-120.317305,EU,Ephemeral,1058,2020,0,3.08,29674,792,8329,1,2
EU7,45.164089,-120.317305,EU,Ephemeral,1058,2022,0,2.58,29674,792,8329,1,2
EU9,45.15690475,-120.3117428,EU,Ephemeral,1048,2017,0,3.51,29674,792,8329,1,3
EU9,45.15690475,-120.3117428,EU,Ephemeral,1048,2019,0,4.57,29674,792,8329,1,2
EU9,45.15690475,-120.3117428,EU,Ephemeral,1048,2021,0,2.05,29674,792,8329,1,3
EU9,45.15690475,-120.3117428,EU,Ephemeral,1048,2023,1,2.57,29674,792,8329,1,4
EU9,45.15690475,-120.3117428,EU,Ephemeral,1048,2024,1,1.6,29674,792,8329,1,3
MO,45.163249,-120.463308,PF,Per1,1258,2017,14,3.51,29674,16265,8553,5,3
MO,45.163249,-120.463308,PF,Per1,1258,2018,5,1.96,29674,16265,8553,4,3
MO,45.163249,-120.463308,PF,Per1,1258,2019,2,4.57,29674,16265,8553,6,4
MO,45.163249,-120.463308,PF,Per1,1258,2020,16,3.08,29674,16265,8553,4,3
MO,45.163249,-120.463308,PF,Per1,1258,2021,19,2.05,29674,16265,8553,5,3
MO,45.163249,-120.463308,PF,Per1,1258,2022,17,2.58,29674,16265,8553,4,3
MO,45.163249,-120.463308,PF,Per1,1258,2023,14,2.57,29674,16265,8553,6,4
MO,45.163249,-120.463308,PF,Per1,1258,2024,17,1.6,29674,16265,8553,5,3
PF15,45.15589,-120.24905,PF,Per2,1109,2017,0,3.51,29674,16265,12792,5,5
PF15,45.15589,-120.24905,PF,Per2,1109,2018,1,1.96,29674,16265,12792,4,5
PF15,45.15589,-120.24905,PF,Per2,1109,2019,0,4.57,29674,16265,12792,6,5
PF15,45.15589,-120.24905,PF,Per2,1109,2020,0,3.08,29674,16265,12792,4,5
PF15,45.15589,-120.24905,PF,Per2,1109,2021,0,2.05,29674,16265,12792,5,5
PF15,45.15589,-120.24905,PF,Per2,1109,2022,0,2.58,29674,16265,12792,4,5
PF15,45.15589,-120.24905,PF,Per2,1109,2023,1,2.57,29674,16265,12792,6,5
PF15,45.15589,-120.24905,PF,Per2,1109,2024,0,1.6,29674,16265,12792,5,6
PF16,45.156934,-120.229974,PF,Per2,1053,2017,2,3.51,29674,16265,12792,5,5
PF16,45.156934,-120.229974,PF,Per2,1053,2019,0,4.57,29674,16265,12792,6,5
PF16,45.156934,-120.229974,PF,Per2,1053,2021,2,2.05,29674,16265,12792,5,5
PF16,45.156934,-120.229974,PF,Per2,1053,2023,1,2.57,29674,16265,12792,6,5
PF16,45.156934,-120.229974,PF,Per2,1053,2024,0,1.6,29674,16265,12792,5,6
PF3,45.181363,-120.395938,PF,Per1,1125,2017,9,3.51,29674,16265,8553,5,3
PF3,45.181363,-120.395938,PF,Per1,1125,2018,5,1.96,29674,16265,8553,4,3
PF3,45.181363,-120.395938,PF,Per1,1125,2019,1,4.57,29674,16265,8553,6,4
PF3,45.181363,-120.395938,PF,Per1,1125,2020,7,3.08,29674,16265,8553,4,3
PF3,45.181363,-120.395938,PF,Per1,1125,2021,12,2.05,29674,16265,8553,5,3
PF3,45.181363,-120.395938,PF,Per1,1125,2022,4,2.58,29674,16265,8553,5,3
