"","mean","sd","X50.","X2.5.","X97.5.","ModelRun","Parameter","MarkSite","Season","Location","Year"
"sship[2,2]",0.118492428178723,0.0637212773585277,0.105391796913544,0.0343191503828395,0.277834045106087,"ParrtoSmolt_allages","sship[2,2]","Per2","Fall","JDD","2017"
"sship[3,2]",0.639212014461685,0.185308615896156,0.63287006975678,0.306306257287196,0.970659572319098,"ParrtoSmolt_allages","sship[3,2]","MObelow","Fall","JDD","2017"
"sship[2,2]1",0.211039076672286,0.041442795355993,0.206617674010846,0.142412629344038,0.302449625551903,"ParrtoSmolt_allages","sship[2,2]","Per2","Fall","JDD","2018"
"sship[3,2]1",0.684053692884953,0.120928086806993,0.672523487257048,0.47796027277674,0.946865449804677,"ParrtoSmolt_allages","sship[3,2]","MObelow","Fall","JDD","2018"
"sship[2,2]2",0.368147807890115,0.136826735634803,0.341677234609472,0.179427908715334,0.718694288848131,"ParrtoSmolt_allages","sship[2,2]","Per2","Fall","JDD","2019"
"sship[3,2]2",0.742726685042348,0.163280803271973,0.758050134992148,0.407337487065566,0.988007766029453,"ParrtoSmolt_allages","sship[3,2]","MObelow","Fall","JDD","2019"
"sship[2,2]3",0.268743884469552,0.155352406803538,0.230166991773898,0.0804806610816885,0.682194329920912,"ParrtoSmolt_allages","sship[2,2]","Per2","Fall","JDD","2020"
"sship[3,2]3",0.503323575932059,0.18156529951687,0.470894275949477,0.234519682876483,0.924818679744445,"ParrtoSmolt_allages","sship[3,2]","MObelow","Fall","JDD","2020"
"sship[5,2]1",0.426541198027705,0.192332722257754,0.387072266440198,0.16060239476801,0.892990458709272,"ParrtoSmolt_allages","sship[5,2]","MOabove","Fall","JDD","2020"
"sship[2,2]4",0.563302524124085,0.213449545804832,0.55018764522201,0.200977979567111,0.964959372412164,"ParrtoSmolt_allages","sship[2,2]","Per2","Fall","JDD","2021"
"sship[3,2]4",0.267666553170563,0.189289834519422,0.214293400437021,0.048568026695081,0.795974159693575,"ParrtoSmolt_allages","sship[3,2]","MObelow","Fall","JDD","2021"
"sship[5,2]2",0.129010590302892,0.0779190755528284,0.109340108974292,0.042912779060643,0.332150737925319,"ParrtoSmolt_allages","sship[5,2]","MOabove","Fall","JDD","2021"
"sship[2,2]5",0.404482208367155,0.122160925549949,0.382654047705803,0.229985529722779,0.712771808238152,"ParrtoSmolt_allages","sship[2,2]","Per2","Fall","JDD","2022"
"sship[3,2]5",0.20813029730308,0.103744832612038,0.188037231924938,0.0658787673138853,0.460143641775964,"ParrtoSmolt_allages","sship[3,2]","MObelow","Fall","JDD","2022"
"sship[4,2]5",0.418945153743202,0.156813679809974,0.391427388231146,0.18980081452528,0.807855727269328,"ParrtoSmolt_allages","sship[4,2]","MOabove","Fall","JDD","2022"
"sship[2,2]6",0.280755401729408,0.148280844361545,0.244473292174117,0.0953891608601302,0.675414423136481,"ParrtoSmolt_allages","sship[2,2]","Per2","Fall","JDD","2023"
"sship[3,2]6",0.401491541736605,0.223642896320857,0.356271154898732,0.0856592070895078,0.915079150306042,"ParrtoSmolt_allages","sship[3,2]","MObelow","Fall","JDD","2023"
"sship[5,2]3",0.468887070206203,0.199621343515937,0.433046127668005,0.17709399719367,0.924179029739053,"ParrtoSmolt_allages","sship[5,2]","MOabove","Fall","JDD","2023"
